transaction_id,user_id,amount,timestamp,merchant,country,home_country,is_fraud
d587e856-f31a-4755-9bd2-f613b94eceeb,user_64,132.24,2025-12-06T01:10:28.360379,Amazon,US,US,0
d87c17fe-5570-48c9-b758-2011b86ea76e,user_56,33.65,2025-12-07T10:10:28.361385,Ebay,US,US,0
84783f12-3428-4b4c-9add-6d3c7fa35d5c,user_26,165.21,2025-12-04T12:10:28.361385,Ebay,IN,IN,0
2c129318-5b4c-4f9e-9017-7e7a20a3757d,user_128,294.61,2025-12-20T12:10:28.361385,AliExpress,FR,FR,0
1fdd1459-353a-4954-be21-e3196be5d5af,user_52,203.54,2025-12-07T04:10:28.361385,AliExpress,IN,IN,0
5205a6db-809e-413f-be6d-a27844a13111,user_180,44.08,2025-12-02T02:10:28.361385,Amazon,DE,DE,0
0562f578-2ef3-4ae0-a1a3-9bfc2a08b69c,user_26,283.1,2025-12-12T00:10:28.361385,Ebay,IN,IN,0
c3b1ebfd-bcd2-49c8-b15f-030f0ae1145c,user_3,258.09,2025-12-14T08:10:28.361385,Target,DE,DE,0
63a9343e-4963-40c3-a2ef-5f43908cc724,user_166,4444.23,2025-11-24T17:10:28.361385,Target,DE,US,1
b3dfff26-a96b-4aa7-8365-f9e262cfee04,user_102,50.1,2025-11-26T06:10:28.361385,Amazon,US,US,0
8ee9973d-032e-4824-8b72-11bee27755ef,user_123,285.36,2025-11-22T11:10:28.361385,AliExpress,FR,FR,0
ba5e2160-ecac-4b14-b3b2-40f9ae7580f5,user_145,146.81,2025-12-06T12:10:28.361385,Amazon,FR,FR,0
3016a71e-8221-450f-a581-e8083a385d7f,user_93,161.56,2025-11-30T04:10:28.361385,Walmart,UK,UK,0
5760510d-8999-4579-947c-cf17cf67d304,user_153,147.79,2025-12-22T02:10:28.361385,Amazon,IN,IN,0
65e5daf5-ab8a-49f5-84c3-12877ebb8002,user_138,160.63,2025-12-13T11:10:28.361385,Ebay,IN,IN,0
